word phonetic definition
fox [fɒks] "n. alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs\nn. the grey or reddish-brown fur of a fox\nn. English statesman who supported American independence and the French Revolution (1749-1806)\nn. English religious leader who founded the Society of Friends (1624-1691)"
foyer ['fɔiei] "n a large entrance or reception room or area"
fraction ['frækʃәn] "n. a component of a mixture that has been separated by a fractional process\nn. a small part or item forming a piece of a whole\nn. the quotient of two rational numbers"
fracture ['fræktʃә] "n. breaking of hard tissue such as bone\nn. the act of cracking something\nv. violate or abuse\nv. interrupt, break, or destroy"
fragile ['frædʒail] "s. vulnerably delicate"
fragility [frә'dʒiliti] "n. quality of being easily damaged or destroyed\nn. lack of physical strength"
fragment ['frægmәnt] "n. a piece broken off or cut off of something else\nn. an incomplete piece"
fragmentary ['fræ^mәntәri] "s consisting of small disconnected parts"
fragmentation [.frægmәn'teiʃәn] "n. the disintegration of social norms governing behavior and thought and social relationships\nn. (computer science) the condition of a file that is broken up and stored in many different locations on a magnetic disk\nn. the scattering of bomb fragments after the bomb explodes"
fragmented ['fræɡmentid] "v break or cause to break into pieces\ns having been divided; having the unity destroyed"
fragrance ['freigrәns] "n a distinctive odor that is pleasant\nn a pleasingly sweet olfactory property"
fragrant ['freigrәnt] "a. pleasant-smelling"
frail [freil] "n. the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds\nn. a basket for holding dried fruit (especially raisins or figs)\na. physically weak"
frailty ['freilti] "n. moral weakness"
frame [freim] "n. the framework for a pair of eyeglasses\nn. a single one of a series of still transparent pictures forming a cinema, television or video film\nn. a single drawing in a comic_strip\nn. an application that divides the user's display into two or more windows that can be scrolled independently"
framer ['freimә] "n. someone who makes frames (as for pictures)\nn. someone who writes a new law or plan"
framework ['freimwә:k] "n. the underlying structure\nn. a structure supporting or containing something"
framing ['freimiŋ] "n. formulation of the plans and important details"
franchise ['fræntʃaiz] "n. an authorization to sell a company's goods or services in a particular place\nn. a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area\nn. a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)\nv. grant a franchise to"
franchisee [.fræntʃai'zi:] 
Franciscan [fræn'siskәn] "n. a Roman Catholic friar wearing the grey habit of the Franciscan order\na. of or relating to Saint Francis of Assisi or to the order founded by him"
frank [fræŋk] "n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century\nn. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll\nv. exempt by means of an official pass or letter, as from customs or other checks\ns. clearly manifest; evident"
frankly ['fræŋkli] "r (used as intensives reflecting the speaker's attitude) it is sincerely the case that"
frantic ['fræntik] "s. excessively agitated; distraught with fear or other violent emotion"
frantically ['fræntikli] "r in an uncontrolled manner"
frat [fræt] "n a social club for male undergraduates"
fraternal [frә'tә:nl] "a. of or relating to a fraternity or society of usually men\na. (of twins) derived from two separate fertilized ova"
fraternity [frә'tә:niti] "n. a social club for male undergraduates"
fraud [frɒ:d] "n. intentional deception resulting in injury to another person\nn. something intended to deceive; deliberate trickery intended to gain an advantage"
fraudulent ['frɒ:djulәnt] "s intended to deceive"
fraught [frɒ:t] "s. marked by distress\ns. filled with or attended with"
fray [frei] "v. wear away by rubbing"
frayed [freɪd] "s. worn away or tattered along the edges"
freak [fri:k] "n. a person or animal that is markedly unusual or deformed"
freckle ['frekl] "n. a small brownish spot (of the pigment melanin) on the skin\nv. become freckled\nv. mark with freckles"
free [fri:] "n. people who are free\nv. grant freedom to; free from confinement\nv. make (information) available for publication\nv. free from obligations or duties"
freedom ['fri:dәm] "n. the condition of being free; the power to act or speak or think without externally imposed restraints"
freely ['fri:li] "r. in a free manner"
freestyle ['fri:stail] "n. a race (as in swimming) in which each contestant has a free choice of the style to use"
freeway ['fri:wei] "n a broad highway designed for high-speed traffic"
freeze [fri:z] "n. the withdrawal of heat to change something from a liquid to a solid\nn. weather cold enough to cause freezing\nn. an interruption or temporary suspension of progress or movement\nn. fixing (of prices or wages etc) at a particular level"
freezer [fri:zә] "n electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time"
freezing ['fri:ziŋ] "n the withdrawal of heat to change something from a liquid to a solid\nv stop moving or become immobilized\nv change to ice\nv be cold\nv cause to freeze\nv stop a process or a habit by imposing a freeze on it\nv be very cold, below the freezing point\nv change from a liquid to a solid when cold\nv prohibit the conversion or use of (assets)\nv anesthetize by cold\nv suddenly behave coldly and formally"
freight ['freit] "n. transporting goods commercially at rates cheaper than express rates\nn. the charge for transporting something by common carrier\nv. transport commercially as cargo\nv. load with goods for transportation"
freighter ['freitә] "n a cargo ship"
French [frentʃ] "n. the Romance language spoken in France and in countries colonized by France\nn. the people of France\nn. United States sculptor who created the seated marble figure of Abraham Lincoln in the Lincoln Memorial in Washington D.C. (1850-1931)"
Frenchman ['frentʃmәn] "n. a person of French nationality"
frenetic [fri'netik] "s excessively agitated; distraught with fear or other violent emotion"
frenzied ['frenzid] "s. affected with or marked by frenzy or mania uncontrolled by reason"
frenzy ['frenzi] "n state of violent mental agitation"
frequency ['fri:kwәnsi] "n. the number of occurrences within a given time period\nn. the ratio of the number of observations in a statistical category to the total number of observations\nn. the number of observations in a given statistical category"
frequent ['fri:kwәnt] "v. be a regular or frequent visitor to a certain place\na. coming at short intervals or habitually\ns. frequently encountered;"
frequently ['fri:kwәntli] "r. many times at short intervals"
fresco ['freskәu] "n. a mural done with watercolors on wet plaster\nn. a durable method of painting on a wall by using watercolors on wet plaster\nv. paint onto wet plaster on a wall"
fresh [freʃ] "a. recently made, produced, or harvested\ns. (of a cycle) beginning or occurring again\ns. original and of a kind not seen before\na. not canned or otherwise preserved"
freshen ['freʃn] "v. become or make oneself fresh again"
freshly ['freʃli] "r very recently\nr in an impudent or impertinent manner"
freshness ['freʃnis] "n. the property of being pure and fresh (as if newly made); not stale or deteriorated\nn. originality by virtue of being refreshingly novel\nn. an alert and refreshed state"
freshwater ['freʃwɔ:tә(r)] "n water that is not salty"
fret [fret] "n. agitation resulting from active worry\nn. an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)\nn. a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch\nv. be agitated or irritated"
Freudian ['frɒidiәn] "n. a person who follows the basic theories or practices of Sigmund Freud\na. of or relating to Sigmund Freud or his psychoanalytic ideas"
